Date,WaterProduced
3/1/2009,547.8798771
4/1/2009,548.0799799
5/1/2009,525.0264131
6/1/2009,540.4878935
7/1/2009,548.587603
8/1/2009,588.4774625
9/1/2009,460.5090697
10/1/2009,216.242158
11/1/2009,163.0434676
12/1/2009,142.91608
1/1/2010,126.0673362
2/1/2010,100.4193093
3/1/2010,189.5170509
4/1/2010,461.2634757
5/1/2010,424.0258436
6/1/2010,428.7477738
7/1/2010,434.0850242
8/1/2010,232.9519083
9/1/2010,232.9779891
10/1/2010,322.2955381
11/1/2010,324.390256
12/1/2010,317.2472541
1/1/2011,276.6979572
2/1/2011,33.61205412
3/1/2011,2.609626916
7/1/2011,19.81790971
8/1/2011,187.1376062
9/1/2011,215.9183827
10/1/2011,238.9445647
11/1/2011,372.3136503
12/1/2011,380.650377
1/1/2012,381.20832
2/1/2012,286.3768959
3/1/2012,265.5982908
4/1/2012,259.2667929
5/1/2012,241.4309725
6/1/2012,179.2596852
7/1/2012,229.1109903
8/1/2012,216.7232971
9/1/2012,119.5507889
10/1/2012,101.6604285
11/1/2012,108.3628147
12/1/2012,101.1081053
1/1/2013,97.65544399
2/1/2013,110.9466199
3/1/2013,121.0249935
4/1/2013,159.1803971
5/1/2013,87.54420223
6/1/2013,75.73633302
7/1/2013,66.2158826
8/1/2013,7.594106279
1/1/2014,13.1455429
9/1/2014,4.807512089
10/1/2014,31.8262736
11/1/2014,64.94066045
12/1/2014,67.36911578
1/1/2015,51.30657608
2/1/2015,20.52257484